City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
276,Novikovo,RU,51.1537,37.8879,40.57,90,38,7.96,scattered clouds
277,Mocuba,MZ,-16.8392,36.9856,64.78,85,13,2.64,few clouds
278,Cockburn Town,TC,21.4612,-71.1419,79.54,78,1,20.31,clear sky
279,Salinopolis,BR,-0.6136,-47.3561,77.86,83,100,6.69,overcast clouds
280,Nabire,ID,-3.3667,135.4833,85.21,68,83,4.21,broken clouds
281,Cayenne,GF,4.9333,-52.3333,82.09,1,100,1.99,overcast clouds
282,Huanren,CN,41.2647,125.3667,80.42,38,56,7.38,broken clouds
283,Maunabo,PR,18.0072,-65.8993,80.71,84,43,10.49,scattered clouds
284,Ilo,PE,-17.6394,-71.3375,63.37,83,48,5.14,scattered clouds
285,Montepuez,MZ,-13.1256,38.9997,62.47,98,43,1.54,scattered clouds
286,Trat,TH,12.5,102.5,86.2,92,100,9.78,overcast clouds
287,Shingu,JP,33.7333,135.9833,76.73,51,96,6.2,overcast clouds
288,El Carrizo,MX,24.0261,-106.8814,71.29,81,5,2.19,clear sky
289,Maragogi,BR,-9.0122,-35.2225,75.58,82,38,11.59,scattered clouds
290,Bowen,AU,-20.0167,148.2333,77.54,64,89,10.76,overcast clouds
291,Cidreira,BR,-30.1811,-50.2056,58.41,79,61,7.52,broken clouds
292,Labuhan,ID,-6.8844,112.2051,85.96,67,60,14.43,broken clouds
293,Lensk,RU,60.7253,114.9278,65.82,46,70,5.23,broken clouds
294,Pozo Colorado,PY,-23.4923,-58.7972,58.26,67,23,5.1,few clouds
295,Korla,CN,41.7597,86.1469,81.09,20,100,18.03,overcast clouds
296,Airai,TL,-8.9266,125.4092,73.81,47,9,5.14,clear sky
297,Chulym,RU,55.0997,80.9572,56.95,42,35,13.6,scattered clouds
298,Lodja,CD,-3.4833,23.4333,68.2,99,100,0.76,moderate rain
299,Lavrentiya,RU,65.5833,-171.0,40.21,79,99,2.82,overcast clouds
300,Tessalit,ML,20.1986,1.0114,82.96,33,4,13.78,clear sky
301,Dalvik,IS,65.9702,-18.5286,37.33,96,100,3.24,overcast clouds
302,Hegra,NO,63.4644,11.114,48.83,74,100,3.94,overcast clouds
303,Uklana Mandi,IN,29.5023,75.8849,89.02,33,88,22.32,overcast clouds
304,Pangnirtung,CA,66.1451,-65.7125,25.45,98,100,7.92,light snow
305,Dingle,PH,10.9995,122.6711,88.07,63,96,7.78,overcast clouds
306,Nyurba,RU,63.2842,118.3319,64.13,40,69,4.41,broken clouds
307,Zhigansk,RU,66.7697,123.3711,50.77,47,80,3.74,broken clouds
308,Victoria,HK,22.2855,114.1577,78.96,90,99,17.0,overcast clouds
309,Cowra,AU,-33.8333,148.6833,65.95,49,20,6.69,few clouds
310,Lipari,IT,38.4674,14.954,63.99,65,14,5.32,few clouds
311,Kavaratti,IN,10.5669,72.642,82.83,80,100,18.1,heavy intensity rain
312,Ribeira Brava,PT,32.65,-17.0667,66.7,77,36,5.5,scattered clouds
313,Rio Grande,BR,-32.035,-52.0986,57.09,84,26,8.41,scattered clouds
314,Campbeltown,GB,55.4258,-5.6076,50.05,93,83,9.73,broken clouds
315,Nalut,LY,30.3333,10.85,69.58,9,0,9.64,clear sky
